url,pageType,category,mainTopic,seoRelevance,geoRelevance,affiliateRelevance,internalAuthority,recommendedNewStructure,recommendedAssignment
https://www.getyour.design/,Startseite,Startseite,GETYOUR.DESIGN,Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/arbeit-einreichen,Landingpage,Ateliers,Arbeit einreichen.,Hoch bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/art,Landingpage,Kunst,"Kunstwerke, Papierarbeiten, Skulpturen und Editionen.",Hoch bei Freigabe,Nein,Nein,Hoch,Kunst,Kunst
https://www.getyour.design/artists,Künstler,Kunst,"Künstler, die Objekte, Oberflächen und Räume prägen.",Mittel bei Freigabe,Nein,Nein,Hoch,Kunst,Kunst
https://www.getyour.design/ateliers,Atelier,Ateliers,"Werkstätten, Materialien und Arbeiten nach Maß.",Mittel bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/brands,Atelier,Ateliers,"Ateliers, Manufakturen und Hersteller mit eigener Haltung.",Mittel bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/collections,Kategorie,Kollektionen,Kuratierte Einstiege in den Shop.,Hoch bei Freigabe,Nein,Nein,Hoch,Kollektionen,Kollektionen
https://www.getyour.design/contact,Landingpage,Ateliers,"Finden Sie das Objekt, das den Raum trägt.",Hoch bei Freigabe,Ja,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/journal,Journal,Journal,"Geschichten über Räume, Objekte und Arbeiten mit Bestand.",Mittel bei Freigabe,Nein,Nein,Hoch,Journal,Journal
https://www.getyour.design/materials,Landingpage,Ateliers,"Eine Bibliothek für Oberflächen, Haptik und Wertigkeit.",Hoch bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/shop,Produkt,Design,"Möbel, Leuchten, Kunst, Teppiche, Objekte und Editionen.",Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/shop/beistelltisch-aus-naturstein,Produkt,Objekte,Beistelltisch aus Naturstein,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/collectible-design,Kategorie,Design-Shop,Collectible Design,Hoch bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-01-limitierter-beistelltisch-aus-stein,Produkt,Design-Shop,Limitierter Beistelltisch aus Stein,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-02-sitzskulptur-mit-stahlrahmen,Produkt,Design-Shop,Sitzskulptur mit Stahlrahmen,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-03-edition-aus-bronze-und-glas,Produkt,Design-Shop,Edition aus Bronze und Glas,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-04-objekttisch-mit-patinierter-flaeche,Produkt,Design-Shop,Objekttisch mit patinierter Fläche,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-05-keramische-sitzform,Produkt,Design-Shop,Keramische Sitzform,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-06-regalobjekt-in-kleiner-edition,Produkt,Design-Shop,Regalobjekt in kleiner Edition,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-07-lichtskulptur-aus-glas,Produkt,Design-Shop,Lichtskulptur aus Glas,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-08-steinrelief-als-objekt,Produkt,Design-Shop,Steinrelief als Objekt,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-09-tischobjekt-aus-holz-und-bronze,Produkt,Design-Shop,Tischobjekt aus Holz und Bronze,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-10-wandkonsole-in-limitierter-serie,Produkt,Design-Shop,Wandkonsole in limitierter Serie,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-11-sammelobjekt-aus-keramik,Produkt,Design-Shop,Sammelobjekt aus Keramik,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/collectible-design-12-edition-eines-raumobjekts,Produkt,Design-Shop,Edition eines Raumobjekts,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/editionen,Kategorie,Kunstwerke,Editionen,Hoch bei Freigabe,Nein,Nein,Hoch,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-02-kleine-edition-aus-papier,Kunstwerk,Kunstwerke,Kleine Edition aus Papier,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-03-bronzeobjekt-in-kleiner-auflage,Kunstwerk,Kunstwerke,Bronzeobjekt in kleiner Auflage,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-04-glasobjekt-als-edition,Kunstwerk,Kunstwerke,Glasobjekt als Edition,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-05-keramikedition-mit-matter-glasur,Kunstwerk,Kunstwerke,Keramikedition mit matter Glasur,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-06-druck-auf-handgeschoepftem-papier,Kunstwerk,Kunstwerke,Druck auf handgeschöpftem Papier,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-07-kleine-wandarbeit-aus-holz,Kunstwerk,Kunstwerke,Kleine Wandarbeit aus Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-08-edition-aus-naturstein,Kunstwerk,Kunstwerke,Edition aus Naturstein,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-09-objektset-aus-drei-formen,Kunstwerk,Kunstwerke,Objektset aus drei Formen,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-10-metallarbeit-in-kleiner-auflage,Kunstwerk,Kunstwerke,Metallarbeit in kleiner Auflage,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-11-papierrelief-als-edition,Kunstwerk,Kunstwerke,Papierrelief als Edition,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/editionen-12-keramisches-wandstueck,Kunstwerk,Kunstwerke,Keramisches Wandstück,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/keramikobjekt-mit-griffoeffnung,Produkt,Accessoires,Keramikobjekt mit Grifföffnung,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/kerzenhalter-aus-patinierter-bronze,Produkt,Objekte,Kerzenhalter aus patinierter Bronze,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/kunst,Kategorie,Kunst,Kunst,Hoch bei Freigabe,Nein,Nein,Hoch,Kunst,Kunst
https://www.getyour.design/shop/kunst-02-mineralische-flaeche-auf-leinen,Kunstwerk,Kunst,Mineralische Fläche auf Leinen,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-03-kleine-bronzeplastik,Kunstwerk,Kunst,Kleine Bronzeplastik,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-04-wandarbeit-aus-papier,Kunstwerk,Kunst,Wandarbeit aus Papier,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-05-relief-aus-hellem-holz,Kunstwerk,Kunst,Relief aus hellem Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-06-arbeit-mit-asche-und-pigment,Kunstwerk,Kunst,Arbeit mit Asche und Pigment,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-07-textile-wandarbeit,Kunstwerk,Kunst,Textile Wandarbeit,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-08-objekt-aus-stein-und-papier,Kunstwerk,Kunst,Objekt aus Stein und Papier,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-09-schwarze-zeichnung-auf-buetten,Kunstwerk,Kunst,Schwarze Zeichnung auf Bütten,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-10-skulptur-aus-gebranntem-ton,Kunstwerk,Kunst,Skulptur aus gebranntem Ton,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-11-diptychon-mit-feiner-linie,Kunstwerk,Kunst,Diptychon mit feiner Linie,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/kunst-12-kleine-arbeit-auf-holz,Kunstwerk,Kunst,Kleine Arbeit auf Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunst,Kunst
https://www.getyour.design/shop/leuchte-aus-bronze,Produkt,Leuchten,Leuchte aus Bronze,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten,Kategorie,Leuchten,Leuchten,Hoch bei Freigabe,Nein,Nein,Hoch,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-02-wandleuchte-mit-glasschirm,Produkt,Leuchten,Wandleuchte mit Glasschirm,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-03-tischleuchte-aus-stahl,Produkt,Leuchten,Tischleuchte aus Stahl,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-04-stehleuchte-mit-stoffschirm,Produkt,Leuchten,Stehleuchte mit Stoffschirm,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-05-pendelleuchte-aus-messing,Produkt,Leuchten,Pendelleuchte aus Messing,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-06-keramische-wandlampe,Produkt,Leuchten,Keramische Wandlampe,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-07-lichtobjekt-aus-glas,Produkt,Leuchten,Lichtobjekt aus Glas,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-08-deckenleuchte-mit-bronzedetail,Produkt,Leuchten,Deckenleuchte mit Bronzedetail,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-09-kleine-tischleuchte-aus-stein,Produkt,Leuchten,Kleine Tischleuchte aus Stein,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-10-lineare-leuchte-aus-aluminium,Produkt,Leuchten,Lineare Leuchte aus Aluminium,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-11-leuchtkoerper-mit-seidenschirm,Produkt,Leuchten,Leuchtkörper mit Seidenschirm,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/leuchten-12-wandobjekt-mit-indirektem-licht,Produkt,Leuchten,Wandobjekt mit indirektem Licht,Hoch bei Freigabe,Nein,Nein,Niedrig,Leuchten,Leuchten
https://www.getyour.design/shop/moebel,Kategorie,Möbel,Möbel,Hoch bei Freigabe,Nein,Nein,Hoch,Möbel,Möbel
https://www.getyour.design/shop/moebel-02-niedrige-bank-aus-eiche,Produkt,Möbel,Niedrige Bank aus Eiche,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-03-sessel-mit-lederauflage,Produkt,Möbel,Sessel mit Lederauflage,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-04-konsole-aus-geraeuchertem-holz,Produkt,Möbel,Konsole aus geräuchertem Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-05-tisch-mit-steinplatte,Produkt,Möbel,Tisch mit Steinplatte,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-06-regalobjekt-aus-nussbaum,Produkt,Möbel,Regalobjekt aus Nussbaum,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-07-daybed-mit-wollbezug,Produkt,Möbel,Daybed mit Wollbezug,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-08-hocker-aus-massivem-holz,Produkt,Möbel,Hocker aus massivem Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-09-schreibtisch-mit-klarer-kante,Produkt,Möbel,Schreibtisch mit klarer Kante,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-10-sideboard-mit-steinauflage,Produkt,Möbel,Sideboard mit Steinauflage,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-11-stuhl-mit-stahlrahmen,Produkt,Möbel,Stuhl mit Stahlrahmen,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/moebel-12-runder-tisch-aus-esche,Produkt,Möbel,Runder Tisch aus Esche,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/objekte,Kategorie,Objekte,Objekte,Hoch bei Freigabe,Nein,Nein,Hoch,Objekte,Objekte
https://www.getyour.design/shop/objekte-02-steinobjekt-mit-geschliffener-kante,Produkt,Objekte,Steinobjekt mit geschliffener Kante,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-03-bronzeform-fuer-den-tisch,Produkt,Objekte,Bronzeform für den Tisch,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-04-keramikobjekt-mit-dunkler-glasur,Produkt,Objekte,Keramikobjekt mit dunkler Glasur,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-05-glasobjekt-mit-einschluss,Produkt,Objekte,Glasobjekt mit Einschluss,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-06-kleine-skulptur-aus-holz,Produkt,Objekte,Kleine Skulptur aus Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-07-objekt-aus-messing-und-stein,Produkt,Objekte,Objekt aus Messing und Stein,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-08-wandobjekt-aus-keramik,Produkt,Objekte,Wandobjekt aus Keramik,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-09-schale-aus-naturstein,Produkt,Objekte,Schale aus Naturstein,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-10-objekt-mit-griffoeffnung,Produkt,Objekte,Objekt mit Grifföffnung,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-11-kleine-metallarbeit,Produkt,Objekte,Kleine Metallarbeit,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/objekte-12-sockelobjekt-aus-hellem-stein,Produkt,Objekte,Sockelobjekt aus hellem Stein,Hoch bei Freigabe,Nein,Nein,Niedrig,Objekte,Objekte
https://www.getyour.design/shop/papierarbeit-mit-struktur,Kunstwerk,Kunst,Papierarbeit mit Struktur,Hoch bei Freigabe,Nein,Nein,Niedrig,Kunstwerke,Kunstwerke
https://www.getyour.design/shop/sitzobjekt-aus-dunklem-holz,Produkt,Möbel,Sitzobjekt aus dunklem Holz,Hoch bei Freigabe,Nein,Nein,Niedrig,Möbel,Möbel
https://www.getyour.design/shop/tabletop,Kategorie,Accessoires,Tabletop,Hoch bei Freigabe,Nein,Nein,Hoch,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-03-flache-schale-aus-steinzeug,Produkt,Accessoires,Flache Schale aus Steinzeug,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-04-untersetzer-aus-naturstein,Produkt,Accessoires,Untersetzer aus Naturstein,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-05-kerzenhalter-aus-ton,Produkt,Accessoires,Kerzenhalter aus Ton,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-06-kleines-tablett-aus-messing,Produkt,Accessoires,Kleines Tablett aus Messing,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-07-glasbecher-mit-schwerem-boden,Produkt,Accessoires,Glasbecher mit schwerem Boden,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-08-servierschale-mit-matter-glasur,Produkt,Accessoires,Servierschale mit matter Glasur,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-09-objektvase-in-dunkler-glasur,Produkt,Accessoires,Objektvase in dunkler Glasur,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-10-steinplatte-fuer-den-tisch,Produkt,Accessoires,Steinplatte für den Tisch,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-11-kleine-schale-aus-bronze,Produkt,Accessoires,Kleine Schale aus Bronze,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/tabletop-12-keramikset-mit-drei-formen,Produkt,Accessoires,Keramikset mit drei Formen,Hoch bei Freigabe,Nein,Nein,Niedrig,Accessoires,Accessoires
https://www.getyour.design/shop/teppiche,Kategorie,Teppiche,Teppiche,Hoch bei Freigabe,Nein,Nein,Hoch,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-02-flacher-teppich-aus-leinen,Produkt,Teppiche,Flacher Teppich aus Leinen,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-03-handgeknuepfter-teppich-in-grau,Produkt,Teppiche,Handgeknüpfter Teppich in Grau,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-04-textile-flaeche-mit-relief,Produkt,Teppiche,Textile Fläche mit Relief,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-05-laeufer-aus-ungefaerbter-wolle,Produkt,Teppiche,Läufer aus ungefärbter Wolle,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-06-teppich-mit-mineralischer-farbigkeit,Produkt,Teppiche,Teppich mit mineralischer Farbigkeit,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-07-runder-teppich-in-naturweiss,Produkt,Teppiche,Runder Teppich in Naturweiß,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-08-gewebter-teppich-mit-kante,Produkt,Teppiche,Gewebter Teppich mit Kante,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-09-teppich-in-dunkler-melange,Produkt,Teppiche,Teppich in dunkler Melange,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-10-kleiner-teppich-fuer-lesezone,Produkt,Teppiche,Kleiner Teppich für Lesezone,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-11-grosse-textile-raumflaeche,Produkt,Teppiche,Große textile Raumfläche,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/teppiche-12-wandteppich-mit-feinem-flor,Produkt,Teppiche,Wandteppich mit feinem Flor,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/shop/vase-aus-glasierter-keramik,Produkt,Design,Vase aus glasierter Keramik,Hoch bei Freigabe,Nein,Nein,Niedrig,Design-Shop,Design-Shop
https://www.getyour.design/shop/wollteppich-in-naturtoenen,Produkt,Teppiche,Wollteppich in Naturtönen,Hoch bei Freigabe,Nein,Nein,Niedrig,Teppiche,Teppiche
https://www.getyour.design/trade,Landingpage,Ateliers,"Objekte, Kunstwerke und Editionen für professionelle Projekte.",Hoch bei Freigabe,Nein,Nein,Hoch,Ateliers,Ateliers
https://www.getyour.design/warenkorb,Sonstige,Sonstige,Warenkorb,Mittel bei Freigabe,Nein,Nein,Hoch,Design-Shop,Design-Shop
